"season","team_name","cumulative_yards","cumulative_tds","hof_probability"
2016,"Tennessee Titans",490,5,4.67048063013209
2017,"Tennessee Titans",1234,10,10.337899795471
2018,"Tennessee Titans",2293,22,21.0878335888148
2019,"Tennessee Titans",3833,38,40.923472869073
2020,"Tennessee Titans",5860,55,63.220015717072
2021,"Tennessee Titans",6797,65,72.3922039182264
2022,"Tennessee Titans",8335,78,85.5716416404069
2023,"Tennessee Titans",9502,90,96.7454705589567
2024,"Baltimore Ravens",11423,106,100
2025,"Baltimore Ravens",13018,122,100
