"season","games","rush_attempts","rush_yards","rush_tds","yards_per_carry","yards_per_game"
2016,14,110,490,5,4.45454545454545,35
2017,18,211,928,6,4.39810426540284,51.5555555555556
2018,16,215,1059,12,4.92558139534884,66.1875
2019,18,386,1986,18,5.14507772020725,110.333333333333
2020,17,396,2067,17,5.21969696969697,121.588235294118
2021,9,239,999,11,4.17991631799163,111
2022,16,349,1538,13,4.40687679083095,96.125
2023,17,280,1167,12,4.16785714285714,68.6470588235294
2024,19,367,2191,19,5.9700272479564,115.315789473684
2025,17,307,1595,16,5.19543973941368,93.8235294117647
